Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
98.0,100,102.0,0.04,0,100000,0,0,50,0,0,0,0
97.66644258446381,99.6596352902692,101.65282799607458,0.04,0,100312.93125481144,-3,13.952348940627417,50,2,0,2,3
97.20962052749518,99.19349033417875,101.17736014086232,0.04,0,100312.93125481144,-3,15.350783808898996,50,2,0,2,3
97.22928697649284,99.21355813927842,101.197829302064,0.04,0,99826.78481992897,2,25.211936207531835,50,3,0,3,-2
99.6425305359371,100.09294880556213,100.14299527996491,0.005,-0.8,100227.35680104884,-2,27.170903437712695,50,4,0,4,2
98.53033502648506,100.54115819029089,102.55198135409671,0.04,0,99734.70512591641,3,36.32860048729344,50,5,0,5,-3
97.3524527707684,99.33923752119225,101.3260222716161,0.04,0,99734.70512591641,3,32.722838479996426,50,5,0,5,-3
96.75766040423571,98.7323065349344,100.70695266563308,0.04,0,99734.70512591641,3,30.90204552121577,50,5,0,5,-3
96.12610942045487,98.0878667555662,100.04962409067753,0.04,0,99734.70512591641,3,28.968726183113176,50,5,0,5,-3
96.14883386306029,98.11105496230641,100.07327606155253,0.04,0,99734.70512591641,3,29.038290803335258,50,5,0,5,-3
96.41571551737368,98.38338318099356,100.35105084461344,0.04,0,99541.87369488167,5,33.79061078662926,50,6,0,6,-5
94.62346610405174,96.55455724903238,98.48564839401303,0.04,0,99541.87369488167,5,24.646481126823346,50,6,0,6,-5
96.11692130711506,98.07849112970925,100.04006095230343,0.04,0,98869.05524573186,12,45.997139288359904,50,7,0,7,-12
95.50687754216185,97.95577183811471,100.40466613406758,0.05,0,98296.01398047888,18,59.21787356493587,43.195980248333164,8,0,8,-18
96.37215221190873,98.3389308284783,100.30570944504787,0.04,0,97814.15321941933,23,75.94862847433251,35.207785561688155,9,0,9,-23
96.10970129371444,96.54414996857301,97.55786354324303,0.015,0.4,98204.3846735923,19,38.72352299519116,33.32051570937959,10,0,10,-19
95.45750884538539,96.03371111205773,97.37818306762654,0.02,0.4,98804.019165776,13,52.45741023274604,31.244701125129822,14,0,14,-13
95.0167461668357,95.44625431123626,96.44843998150424,0.015,0.4,98804.019165776,13,44.82047182206588,28.828814784935403,14,0,14,-13
94.28627112374176,94.71247727146334,95.7069582828137,0.015,0.4,98804.019165776,13,35.281370305019664,25.798774314353096,14,0,14,-13
93.25595633957153,93.67750511257813,94.66111891626021,0.015,0.4,99561.30811710608,5,29.69564266897214,26.737944912178676,15,0,15,-5
92.52849260030852,93.7947213383766,96.74925506053546,0.045,0.4,99561.30811710608,5,30.281723797961604,38.59220661606705,15,0,15,-5
93.54567400702439,95.45476939492285,97.36386478282131,0.04,0,99561.30811710608,5,38.58196408068761,33.90439453298306,15,0,15,-5
93.85514748723149,94.13756016773469,96.67927429226353,0.03,0.8,98998.17723218269,11,33.6903940277698,41.98323296181616,16,0,16,-11
93.62891729381735,95.53971152430343,97.4505057547895,0.04,0,98998.17723218269,11,49.114058950028266,40.635473052193966,16,0,16,-11
93.28268532502142,95.18641359696063,97.09014186889985,0.04,0,99871.98850900278,2,62.361336196699995,42.49258906366323,17,0,17,-2
93.6061009857557,95.51642957730174,97.42675816884777,0.04,0,99808.94766548176,3,95.49695421366778,44.78057729026549,19,0,19,-3
94.00386570802661,95.92231194696593,97.84075818590526,0.04,0,101374.39979645623,-13,127.40974114567507,54.36788933340352,21,1,20,13
97.42301832110435,97.91258122724055,102.31864738246638,0.05,0.8,101374.39979645623,-13,101.53624050210055,51.313276164921945,21,1,20,13
96.84117720975532,97.27893240558043,101.21872916800645,0.045,0.8,102285.36835896829,-22,145.23184604552807,46.48175006003854,22,1,21,22
94.89180314650174,96.19037318449239,99.2203699398039,0.045,0.4,102583.0294687877,-25,178.27013917539443,41.04833310552483,23,1,22,25
93.48999884545543,94.76938555038564,97.75462119522278,0.045,0.4,102583.0294687877,-25,213.794830028055,39.221351601685505,23,1,22,25
92.97128990070125,94.24357820648885,97.21225091999325,0.045,0.4,101653.3165697807,-15,239.66289668336685,40.30719764224638,26,1,25,15
93.1681450199929,94.44312723770189,97.4180857456895,0.045,0.4,100721.63511958077,-5,249.419483392252,47.1072065548163,29,1,28,5
93.86099745469299,95.77652801499285,97.6920585752927,0.04,0,101112.40335388193,-9,250.41460174700478,39.32445884892519,30,1,29,9
92.36149400363819,93.62543740865503,96.57463868702766,0.045,0.4,101112.40335388193,-9,269.7744172040402,38.90884733846481,30,1,29,9
92.2340953873373,93.49629537489844,96.44142867920773,0.045,0.4,101112.40335388193,-9,270.936695507844,41.496425103091624,30,1,29,9
92.72916494450976,93.99813983224507,96.9590812369608,0.045,0.4,101892.30592007007,-17,294.33754292190133,41.57097310830506,32,1,31,17
92.74301252252393,94.01217691082,96.97356048351084,0.045,0.4,102571.12084345464,-24,314.8285975949693,36.35814914141499,33,1,32,24
91.89776445392764,92.54558353869852,92.82322028931462,0.01,-0.4,102579.44994597312,-24,358.35594104435586,42.133610954486514,36,1,35,24
92.36551821725661,93.6295166926068,96.57884646842392,0.045,0.4,102579.44994597312,-24,332.3415453505586,40.05717135844212,36,1,35,24
91.79835244375637,93.05458940066535,95.98580896678631,0.045,0.4,102120.45818375434,-19,352.4209851416963,41.49959420265372,37,1,36,19
92.06184504415562,93.3216878298587,96.26132099649925,0.045,0.4,102120.45818375434,-19,347.34611498702725,41.8769921029523,37,1,36,19
92.12786569170683,93.38861195307332,96.33035322959513,0.045,0.4,102120.45818375434,-19,346.07455664593726,43.270712463818015,37,1,36,19
92.36133124458105,93.62527242228185,96.57446850358373,0.045,0.4,101196.84487130852,-9,354.21741950798605,49.24487607187566,39,1,38,9
94.27782931014507,94.703997297986,98.53950918855443,0.045,0.8,101196.84487130852,-9,344.50889562665543,46.40156608697319,39,1,38,9
92.70934198771928,94.1211593783952,97.41539995663904,0.05,0.4,102662.78192862704,-24,403.8741035455605,49.55685552245031,42,1,41,24
92.71862534862748,94.70748248072266,95.55984982304916,0.03,-0.4,102662.78192862704,-24,389.8023490896885,46.87369132909021,42,1,41,24
92.90667911632026,94.17808324006108,97.14469286212301,0.045,0.4,102759.92662148917,-25,405.47454048764484,44.43591578746308,43,1,42,25
92.41530554656653,93.67998534877499,96.63090488726141,0.045,0.4,102482.68070484947,-22,421.72102717641974,38.96818058506713,45,1,44,22
91.18430032674878,92.43213413760647,95.34374636294108,0.045,0.4,102482.68070484947,-22,449.1737538221205,36.65161043807957,45,1,44,22
90.59714329577952,91.8369420129544,94.72980568636245,0.045,0.4,102029.69498837057,-17,468.4669741503458,40.78155426040542,46,1,45,17
91.23676235417378,92.48531409444884,95.39860148842398,0.045,0.4,102029.69498837057,-17,457.4446487649402,42.51963546606468,46,1,45,17
91.51223513722539,92.76455665202776,95.68664018656663,0.045,0.4,102712.02468482456,-24,485.6753251758928,38.6739838423591,49,1,48,24
90.6456086029662,91.88607055546498,94.78048177796212,0.045,0.4,102712.02468482456,-24,506.7589914933924,48.117955211678655,49,1,48,24
91.56373763799041,93.52782189784516,94.36957229492576,0.03,-0.4,102712.02468482456,-24,467.35695927627967,43.97293120511271,49,1,48,24
91.34463755001471,92.59466553473361,95.51139749907772,0.045,0.4,102712.02468482456,-24,489.75271199095005,42.26894745953277,49,1,48,24
90.94460902990659,92.18916272671727,95.09312135260886,0.045,0.4,102712.02468482456,-24,499.4847793833469,42.489515156738825,49,1,48,24
90.98137289137411,92.22642969221907,95.13156222752397,0.045,0.4,102902.2878092796,-26,504.4006372819131,45.374520130399006,50,1,49,26
91.45327868050896,92.70479339129139,95.62499438311707,0.045,0.4,103762.91275872765,-35,518.2449900324427,45.5623071479077,52,1,51,35
91.48341130350718,92.73533837152274,95.65650153022571,0.045,0.4,103762.91275872765,-35,517.1759157243505,44.197480942963985,52,1,51,35
91.23207119942985,92.48055874245297,95.39369634284024,0.045,0.4,103762.91275872765,-35,526.0932027417875,39.472172378301984,52,1,51,35
90.29936555104257,91.53508925599856,94.41844456756252,0.045,0.4,103762.91275872765,-35,559.184634767691,44.96062461626589,52,1,51,35
91.10716519952851,92.35394343591334,95.2630926541446,0.045,0.4,103671.80559352812,-34,531.7715167070564,44.24928043413637,53,1,52,34
92.12692095483442,92.21914009492934,93.0491123557837,0.01,0.8,104323.1493800186,-41,542.1646361265011,44.942657890402224,54,1,53,41
91.07247413766788,92.31877763575051,95.22681913127664,0.045,0.4,104323.1493800186,-41,538.079496952836,45.817711874986024,54,1,53,41
91.1909946912686,92.43892011279128,95.35074609634421,0.045,0.4,103788.48266608622,-35,553.1204621385259,52.18576148112647,56,1,55,35
91.41292000370045,93.37376915597595,94.21413307837973,0.03,-0.4,103788.48266608622,-35,520.4007456270629,51.7954412681471,56,1,55,35
91.35842961516556,93.31810992356033,94.15797291287237,0.03,-0.4,103697.12423647105,-34,524.3084990700008,54.403055627011106,57,1,56,34
91.74530743162322,93.71328644701043,94.55670602503352,0.03,-0.4,104075.35106057118,-38,514.2461755847762,62.3597097157861,58,1,57,38
94.14817316845411,95.14721896761405,95.57538145296832,0.015,-0.4,105222.2556380068,-50,464.89468962608953,65.67043027489973,60,3,57,50
94.87632049154259,95.88309296770348,96.31456688605815,0.015,-0.4,104178.61611259983,-39,439.1754868593998,64.24756988823674,63,3,60,39
95.37605427004945,95.7110429202704,98.72594077225892,0.035,0.8,104178.61611259983,-39,445.885438709287,60.03007782505489,63,3,60,39
94.85982769592323,95.19300320714825,98.19158280817342,0.035,0.8,103799.17680181614,-35,467.4216895659483,56.2628358166968,64,3,61,35
94.37088269799958,94.7023408911185,97.68546462918873,0.035,0.8,103799.17680181614,-35,484.59487062698463,49.020032389184856,64,3,61,35
92.36564504906713,93.62964526007818,96.57897908577064,0.045,0.4,104185.49271815922,-39,533.936553016174,47.48659997309413,65,3,62,39
